year;GDP (Billions of U.S. dollars)
1980;35.357
1981;17.617
1982;23.369
1983;35.204
1984;61.171
1985;19.045
1986;43.009
1987;53.385
1988;29.501
1989;7.991
1990;8.217
1991;9.704
1992;12.528
1993;16.736
1994;20.712
1995;26.407
1996;31.352
1997;34.146
1998;34.58
1999;36.444
2000;39.585
2001;41.297
2002;44.563
2003;50.233
2004;62.877
2005;73.197
2006;84.301
2007;98.426
2008;124.756
2009;129.022
2010;143.212
2011;171.312
2012;195.169
2013;212.728
2014;232.888
2015;236.795
2016;252.146
2017;277.071
2018;304.47
2019;331.818
2020;346.31
2021;370.076
2022;407.965
2023;433.702
2024;465.814
2025;505.531
2026;546.491
2027;589.854
2028;635.648
2029;684.01
