Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
TH,011903,Discharge,Daily Discharge,1967-01-01T00:00Z,2660.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-02T00:00Z,2584.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-03T00:00Z,2540.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-04T00:00Z,2520.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-05T00:00Z,2490.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-06T00:00Z,2452.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-07T00:00Z,2420.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-08T00:00Z,2410.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-09T00:00Z,2390.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-10T00:00Z,2360.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-11T00:00Z,2360.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-12T00:00Z,2360.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-13T00:00Z,2390.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-14T00:00Z,2410.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-15T00:00Z,2380.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-16T00:00Z,2350.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-17T00:00Z,2349.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-18T00:00Z,2400.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-19T00:00Z,2440.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-20T00:00Z,2420.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-21T00:00Z,2420.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-22T00:00Z,2410.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-23T00:00Z,2360.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-24T00:00Z,2310.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-25T00:00Z,2240.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-26T00:00Z,2210.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-27T00:00Z,2150.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-28T00:00Z,2130.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-29T00:00Z,2100.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-30T00:00Z,2070.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-01-31T00:00Z,2040.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-01T00:00Z,2020.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-02T00:00Z,1990.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-03T00:00Z,1960.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-04T00:00Z,1920.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-05T00:00Z,1910.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-06T00:00Z,1870.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-07T00:00Z,1840.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-08T00:00Z,1830.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-09T00:00Z,1830.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-10T00:00Z,1830.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-11T00:00Z,1830.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-12T00:00Z,1870.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-13T00:00Z,1840.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-14T00:00Z,1810.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-15T00:00Z,1770.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-16T00:00Z,1730.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-17T00:00Z,1680.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-18T00:00Z,1670.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-19T00:00Z,1640.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-20T00:00Z,1630.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-21T00:00Z,1610.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-22T00:00Z,1600.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-23T00:00Z,1580.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-24T00:00Z,1570.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-25T00:00Z,1560.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-26T00:00Z,1540.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-27T00:00Z,1520.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-02-28T00:00Z,1510.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-03-01T00:00Z,1500.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-03-02T00:00Z,1480.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-03-03T00:00Z,1460.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-03-04T00:00Z,1480.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-03-05T00:00Z,1500.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-03-06T00:00Z,1510.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
TH,011903,Discharge,Daily Discharge,1967-03-07T00:00Z,1510.0,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
